ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,sc-35f5f4fb-3 (2),ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5)
,https://www.imdb.com/title/tt8999762/?ref_=ls_i_11,https://www.imdb.com/title/tt8999762/?ref_=ls_t_11,11. The Brutalist,2024,3h 36m,R,91,Metascore,7.2,(137K),A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,Director,https://www.imdb.com/name/nm1227232/?ref_=ls_li_1_1,Brady Corbet,Stars,https://www.imdb.com/name/nm0004778/?ref_=ls_li_2_1,Adrien Brody,https://www.imdb.com/name/nm0428065/?ref_=ls_li_2_2,Felicity Jones,https://www.imdb.com/name/nm0001602/?ref_=ls_li_2_3,Guy Pearce,,,
,https://www.imdb.com/title/tt9218128/?ref_=ls_i_12,https://www.imdb.com/title/tt9218128/?ref_=ls_t_12,12. Gladiator II,2024,2h 28m,R,64,Metascore,6.5,(294K),"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",Director,https://www.imdb.com/name/nm0000631/?ref_=ls_li_1_1,Ridley Scott,Stars,https://www.imdb.com/name/nm8958770/?ref_=ls_li_2_1,Paul Mescal,https://www.imdb.com/name/nm0000243/?ref_=ls_li_2_2,Denzel Washington,https://www.imdb.com/name/nm0050959/?ref_=ls_li_2_3,Pedro Pascal,,,
,https://www.imdb.com/title/tt17279496/?ref_=ls_i_13,https://www.imdb.com/title/tt17279496/?ref_=ls_t_13,13. Civil War,2024,1h 49m,R,75,Metascore,7.0,(268K),"In the midst of a U.S. civil war, four reporters make the dangerous trip to the capital to interview the president before he is overthrown.",Director,https://www.imdb.com/name/nm0307497/?ref_=ls_li_1_1,Alex Garland,Stars,https://www.imdb.com/name/nm0000379/?ref_=ls_li_2_1,Kirsten Dunst,https://www.imdb.com/name/nm0609944/?ref_=ls_li_2_2,Wagner Moura,https://www.imdb.com/name/nm8314228/?ref_=ls_li_2_3,Cailee Spaeny,,,
,https://www.imdb.com/title/tt16426418/?ref_=ls_i_14,https://www.imdb.com/title/tt16426418/?ref_=ls_t_14,14. Challengers,2024,2h 11m,R,82,Metascore,7.0,(178K),"Tashi, a former tennis prodigy-turned-coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend--Tashi's ex-boyfriend.",Director,https://www.imdb.com/name/nm0345174/?ref_=ls_li_1_1,Luca Guadagnino,Stars,https://www.imdb.com/name/nm4576311/?ref_=ls_li_2_1,Mike Faist,https://www.imdb.com/name/nm4853066/?ref_=ls_li_2_2,Josh O'Connor,https://www.imdb.com/name/nm3918035/?ref_=ls_li_2_3,Zendaya,,,
,https://www.imdb.com/title/tt26446278/?ref_=ls_i_15,https://www.imdb.com/title/tt26446278/?ref_=ls_t_15,15. The Count of Monte Cristo,2024,2h 58m,Not Rated,75,Metascore,7.6,(48K),"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",Directors,https://www.imdb.com/name/nm0478799/?ref_=ls_li_1_1,Alexandre de La Patellière,Stars,https://www.imdb.com/name/nm1141181/?ref_=ls_li_1_2,Matthieu Delaporte,https://www.imdb.com/name/nm2582755/?ref_=ls_li_2_1,Pierre Niney,https://www.imdb.com/name/nm3319078/?ref_=ls_li_2_2,Bastien Bouillon,,https://www.imdb.com/name/nm1326732/?ref_=ls_li_2_3,Anaïs Demoustier
,https://www.imdb.com/title/tt8368368/?ref_=ls_i_16,https://www.imdb.com/title/tt8368368/?ref_=ls_t_16,16. The Apprentice,2024,2h 2m,R,64,Metascore,7.1,(73K),"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",Director,https://www.imdb.com/name/nm4389150/?ref_=ls_li_1_1,Ali Abbasi,Stars,https://www.imdb.com/name/nm1659221/?ref_=ls_li_2_1,Sebastian Stan,https://www.imdb.com/name/nm0834989/?ref_=ls_li_2_2,Jeremy Strong,https://www.imdb.com/name/nm0233027/?ref_=ls_li_2_3,Martin Donovan,,,
,https://www.imdb.com/title/tt27131358/?ref_=ls_i_17,https://www.imdb.com/title/tt27131358/?ref_=ls_t_17,17. We Live in Time,2024,1h 48m,R,59,Metascore,7.0,(72K),"After an unusual encounter, a talented chef and a recently divorcée fall in love and build the home and family they've always dreamed of, until a painful truth puts their love story to the test.",Director,https://www.imdb.com/name/nm1259871/?ref_=ls_li_1_1,John Crowley,Stars,https://www.imdb.com/name/nm1940449/?ref_=ls_li_2_1,Andrew Garfield,https://www.imdb.com/name/nm6073955/?ref_=ls_li_2_2,Florence Pugh,https://www.imdb.com/name/nm16435970/?ref_=ls_li_2_3,Grace Delaney,,,
,https://www.imdb.com/title/tt27403986/?ref_=ls_i_18,https://www.imdb.com/title/tt27403986/?ref_=ls_t_18,18. Juror #2,2024,1h 54m,PG-13,72,Metascore,7.0,(125K),"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",Director,https://www.imdb.com/name/nm0000142/?ref_=ls_li_1_1,Clint Eastwood,Stars,https://www.imdb.com/name/nm0396558/?ref_=ls_li_2_1,Nicholas Hoult,https://www.imdb.com/name/nm0001057/?ref_=ls_li_2_2,Toni Collette,https://www.imdb.com/name/nm0799777/?ref_=ls_li_2_3,J.K. Simmons,,,
,https://www.imdb.com/title/tt20215968/?ref_=ls_i_19,https://www.imdb.com/title/tt20215968/?ref_=ls_t_19,19. Hit Man,2023,1h 55m,R,82,Metascore,6.8,(131K),"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services.",Director,https://www.imdb.com/name/nm0000500/?ref_=ls_li_1_1,Richard Linklater,Stars,https://www.imdb.com/name/nm1412974/?ref_=ls_li_2_1,Glen Powell,https://www.imdb.com/name/nm5245722/?ref_=ls_li_2_2,Adria Arjona,https://www.imdb.com/name/nm3994184/?ref_=ls_li_2_3,Austin Amelio,,,
,https://www.imdb.com/title/tt4919268/?ref_=ls_i_20,https://www.imdb.com/title/tt4919268/?ref_=ls_t_20,20. Bad Boys: Ride or Die,2024,1h 55m,R,54,Metascore,6.5,(113K),"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",Directors,https://www.imdb.com/name/nm4816401/?ref_=ls_li_1_1,Adil El Arbi,Stars,https://www.imdb.com/name/nm4263190/?ref_=ls_li_1_2,Bilall Fallah,https://www.imdb.com/name/nm0000226/?ref_=ls_li_2_1,Will Smith,https://www.imdb.com/name/nm0001454/?ref_=ls_li_2_2,Martin Lawrence,,https://www.imdb.com/name/nm1227814/?ref_=ls_li_2_3,Vanessa Hudgens
