ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-link href (5),ipc-link (5)
,https://www.imdb.com/title/tt18382850/?ref_=ls_i_21,https://www.imdb.com/title/tt18382850/?ref_=ls_t_21,21. If I Had Legs I'd Kick You,2025,1h 53m,R,78,6.6,(35K),"While trying to manage her own life and career, a woman on the verge of a breakdown must cope with her daughter's illness, an absent husband, a missing person, and an unusual relationship with her therapist.",Director,https://www.imdb.com/name/nm2555469/?ref_=ls_li_1_1,Mary Bronstein,https://www.imdb.com/name/nm0126284/?ref_=ls_li_2_1,Rose Byrne,https://www.imdb.com/name/nm0005277/?ref_=ls_li_2_2,Conan O'Brien,https://www.imdb.com/name/nm4359664/?ref_=ls_li_2_3,Danielle Macdonald,,
,https://www.imdb.com/title/tt36491653/?ref_=ls_i_22,https://www.imdb.com/title/tt36491653/?ref_=ls_t_22,22. It Was Just an Accident,2025,1h 43m,PG-13,91,7.4,(34K),"An unassuming mechanic is reminded of his time in an Iranian prison when he encounters a man he suspects to be his sadistic jailhouse captor. Panicked, he rounds up a few of his fellow ex-prisoners to confirm the man's identity.",Director,https://www.imdb.com/name/nm0070159/?ref_=ls_li_1_1,Jafar Panahi,https://www.imdb.com/name/nm15212779/?ref_=ls_li_2_1,Vahid Mobasseri,https://www.imdb.com/name/nm17285103/?ref_=ls_li_2_2,Mariam Afshari,https://www.imdb.com/name/nm10064184/?ref_=ls_li_2_3,Ebrahim Azizi,,
,https://www.imdb.com/title/tt29313285/?ref_=ls_i_23,https://www.imdb.com/title/tt29313285/?ref_=ls_t_23,23. Little Amélie or the Character of Rain,2025,1h 17m,PG,82,7.6,(5.1K),"Amélie, a Belgian child in Japan, explores life with her companion Nishio-san. Her third birthday becomes a turning point, marking the beginning of life-altering events that shape her understanding of the world.",Directors,https://www.imdb.com/name/nm3442046/?ref_=ls_li_1_1,Liane-Cho Han Jin Kuang,https://www.imdb.com/name/nm4922823/?ref_=ls_li_1_2,Maïlys Vallade,https://www.imdb.com/name/nm13358105/?ref_=ls_li_2_1,Loïse Charpentier,https://www.imdb.com/name/nm3149563/?ref_=ls_li_2_2,Victoria Grosbois,https://www.imdb.com/name/nm0297764/?ref_=ls_li_2_3,Yumi Fujimori
,https://www.imdb.com/title/tt31514146/?ref_=ls_i_24,https://www.imdb.com/title/tt31514146/?ref_=ls_t_24,24. I Swear,2025,2h,R,70,8.4,(40K),"John Davidson: diagnosed with Tourette's syndrome at a young age which alienated him from his peers, he struggled with a condition few people had witnessed.",Director,https://www.imdb.com/name/nm0428600/?ref_=ls_li_1_1,Kirk Jones,https://www.imdb.com/name/nm7075019/?ref_=ls_li_2_1,Robert Aramayo,https://www.imdb.com/name/nm0668845/?ref_=ls_li_2_2,Maxine Peake,https://www.imdb.com/name/nm17773194/?ref_=ls_li_2_3,Somerled Campbell,,
,https://www.imdb.com/title/tt31434639/?ref_=ls_i_25,https://www.imdb.com/title/tt31434639/?ref_=ls_t_25,25. Warfare,2025,1h 35m,R,78,7.1,(110K),"A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",Directors,https://www.imdb.com/name/nm0307497/?ref_=ls_li_1_1,Alex Garland,https://www.imdb.com/name/nm4918648/?ref_=ls_li_1_2,Ray Mendoza,https://www.imdb.com/name/nm10500801/?ref_=ls_li_2_1,D'Pharaoh Woon-A-Tai,https://www.imdb.com/name/nm2401020/?ref_=ls_li_2_2,Will Poulter,https://www.imdb.com/name/nm4008605/?ref_=ls_li_2_3,Cosmo Jarvis
,https://www.imdb.com/title/tt31193180/?ref_=ls_i_26,https://www.imdb.com/title/tt31193180/?ref_=ls_t_26,26. Sinners,2025,2h 17m,R,84,7.5,(471K),"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Director,https://www.imdb.com/name/nm3363032/?ref_=ls_li_1_1,Ryan Coogler,https://www.imdb.com/name/nm0430107/?ref_=ls_li_2_1,Michael B. Jordan,https://www.imdb.com/name/nm1925239/?ref_=ls_li_2_2,Jack O'Connell,https://www.imdb.com/name/nm2794962/?ref_=ls_li_2_3,Hailee Steinfeld,,
,https://www.imdb.com/title/tt31688586/?ref_=ls_i_27,https://www.imdb.com/title/tt31688586/?ref_=ls_t_27,27. Nouvelle Vague,2025,1h 46m,R,76,7.3,(10K),"The behind the scenes of the filming of Jean-Luc Godard's Breathless (1960), a landmark of the French New Wave film movement.",Director,https://www.imdb.com/name/nm0000500/?ref_=ls_li_1_1,Richard Linklater,https://www.imdb.com/name/nm8190549/?ref_=ls_li_2_1,Guillaume Marbeck,https://www.imdb.com/name/nm3614913/?ref_=ls_li_2_2,Zoey Deutch,https://www.imdb.com/name/nm7620872/?ref_=ls_li_2_3,Aubry Dullin,,
,https://www.imdb.com/title/tt27847051/?ref_=ls_i_28,https://www.imdb.com/title/tt27847051/?ref_=ls_t_28,28. The Secret Agent,2025,2h 41m,R,91,7.2,(53K),"Amid the political turmoil of 1977 Brazil, a technology expert is forced into hiding and seeks help from the underground resistance as he tries to flee the country with his young son.",Director,https://www.imdb.com/name/nm2207625/?ref_=ls_li_1_1,Kleber Mendonça Filho,https://www.imdb.com/name/nm17755488/?ref_=ls_li_2_1,Robson Andrade,https://www.imdb.com/name/nm0764257/?ref_=ls_li_2_2,Rubens Santos,https://www.imdb.com/name/nm10122494/?ref_=ls_li_2_3,Licínio Januário,,
,https://www.imdb.com/title/tt9362736/?ref_=ls_i_29,https://www.imdb.com/title/tt9362736/?ref_=ls_t_29,29. Die My Love,2025,1h 59m,R,72,6.0,(43K),"Grace, a writer and young mother, is suffering from post partum depression and slowly spiralling into madness. Moving into an old house with her husband, Jackson, her mind begins to unravel as she becomes increasingly agitated and erratic.",Director,https://www.imdb.com/name/nm0708903/?ref_=ls_li_1_1,Lynne Ramsay,https://www.imdb.com/name/nm2225369/?ref_=ls_li_2_1,Jennifer Lawrence,https://www.imdb.com/name/nm1500155/?ref_=ls_li_2_2,Robert Pattinson,https://www.imdb.com/name/nm0000651/?ref_=ls_li_2_3,Sissy Spacek,,
,https://www.imdb.com/title/tt4627382/?ref_=ls_i_30,https://www.imdb.com/title/tt4627382/?ref_=ls_t_30,30. Roofman,2025,2h 6m,R,66,6.9,(73K),"A charismatic criminal, while on the run from the police, hides in a hidden space of a toy store. There, he adopts a new identity and becomes involved with an employee, beginning a relationship as unlikely as it is risky.",Director,https://www.imdb.com/name/nm0161834/?ref_=ls_li_1_1,Derek Cianfrance,https://www.imdb.com/name/nm1475594/?ref_=ls_li_2_1,Channing Tatum,https://www.imdb.com/name/nm0000379/?ref_=ls_li_2_2,Kirsten Dunst,https://www.imdb.com/name/nm3147751/?ref_=ls_li_2_3,LaKeith Stanfield,,
